"block","hash","extraData","timestamp","date","duration","num_of_validators","transaction_count","txs_per_sec"
"20050","0x2f7c987392db39b430623badfb9a39a6ea311a00e3c1bc39c60b66ce33a1f656","0x506172697479","1662670194","2022-09-08T20:49:54.000Z","600","19","0","0.0000"
"20049","0x0e293d904eaebe98263da3d2b505ffb79b49f5b53807b119ce482c9b2e269a57","0x506172697479","1662669594","2022-09-08T20:39:54.000Z","600","19","1306","2.1767"
"20048","0xd2672071414b111403b32c35a40b0c1e16877212997ec7bb95b800b34b7e9edf","0x506172697479","1662669577","2022-09-08T20:39:37.000Z","17","19","2428","142.8235"
"20047","0xb9bd0c262cacc76017122c4b01b33023f4b29b1581828699d72326ecf987a757","0x506172697479","1662669554","2022-09-08T20:39:14.000Z","23","19","2224","96.6957"
"20046","0x70e33456407798e782e70950b1a76cfdbf4df3e4f21604fe4cfc3e7836b0df3c","0x506172697479","1662669533","2022-09-08T20:38:53.000Z","21","19","2604","124.0000"
"20045","0x0743380251cd6670a1a69cd6d0bfde4c65e38f19e1adabc25fa8b6a39de62a9d","0x506172697479","1662669522","2022-09-08T20:38:42.000Z","11","19","1267","115.1818"
"20044","0x63a102204ff9a8770ab7180e9cac00ad3f2d980e9788ee81eaaa7af242a64072","0x506172697479","1662669519","2022-09-08T20:38:39.000Z","3","19","168","56.0000"
"20043","0x38f030d37dcf6f34217761b705be9745975effd2d0adc688e62566eda090751a","0x506172697479","1662669515","2022-09-08T20:38:35.000Z","4","19","3","0.7500"
"20042","0x8d3ec40b32514168e1a0cc38a88c26cde3d7627b3131d0f95b377123b3991881","0x506172697479","1662669443","2022-09-08T20:37:23.000Z","72","19","37","0.5139"
"20041","0xe6359e3483f559dc45e4dc9cd3ecb086f8cd2c6799d44a29b59902a84548f6df","0x506172697479","1662669439","2022-09-08T20:37:19.000Z","4","19","165","41.2500"
"20040","0x66f884711e7520e79458023a6daa63f68ea1e9cb1bf46fc5e7a12775e7ed8536","0x506172697479","1662669435","2022-09-08T20:37:15.000Z","4","19","169","42.2500"
"20039","0x5f3d8ce49938a50bbf1bf4be26dacd8a0573f6a1ffc3bf01cb96bdc27314f9fc","0x506172697479","1662669431","2022-09-08T20:37:11.000Z","4","19","161","40.2500"
"20038","0x6f5cabc17127c1dff2b3fe4555be3a1f78b7f1dd6d95d01366fc349a0fae2f87","0x506172697479","1662669427","2022-09-08T20:37:07.000Z","4","19","126","31.5000"
"20037","0xa687902c2ca12790c11b2c65cd38a8ab277e68f40d5120f38756308976902d7c","0x506172697479","1662669423","2022-09-08T20:37:03.000Z","4","19","163","40.7500"
"20036","0x1caae4022f25b32a5bf5c6b6a402fd3db46c9b44bcaef06974db1571c1788cd3","0x506172697479","1662669419","2022-09-08T20:36:59.000Z","4","19","198","49.5000"
"20035","0xc656e67b247fb51181ccc12448ef9ea0cd5a2449af8e2530f916e715911fc29e","0x506172697479","1662669415","2022-09-08T20:36:55.000Z","4","19","164","41.0000"
"20034","0xea75534ba701c81318c08ca4690bde13131214573e22b4d36b0f0cde7acc83dd","0x506172697479","1662669411","2022-09-08T20:36:51.000Z","4","19","184","46.0000"
"20033","0x78f41849f6739a240c81ca90bc5d81bc73c1828b1cbe1ff97cff68bb14020cdc","0x506172697479","1662669407","2022-09-08T20:36:47.000Z","4","19","144","36.0000"
"20032","0xd0d717409349dcf46b4b80ee199820e77eaf0330e2e93a85f9db7549cbfece18","0x506172697479","1662669404","2022-09-08T20:36:44.000Z","3","19","183","61.0000"
"20031","0x3c0e09fc277d2f4f411df5bab32ae67beec7e721144d5a103bc036bde548b4dd","0x506172697479","1662669400","2022-09-08T20:36:40.000Z","4","19","155","38.7500"
"20030","0x5230761dcbd2ffbaa94ed63bed2cc72f4b895462cd8cd90f48fb9cbce0b8cb38","0x506172697479","1662669396","2022-09-08T20:36:36.000Z","4","19","153","38.2500"
"20029","0xd3ec4d6031038fe682968fbc22083e18cd4534b7dc1c1e065cb81f86b67a598a","0x506172697479","1662669393","2022-09-08T20:36:33.000Z","3","19","181","60.3333"
"20028","0x9f1e623c5dc1579364228149612bb37072cacfe7f345881bfd62379ed5364a72","0x506172697479","1662669389","2022-09-08T20:36:29.000Z","4","19","129","32.2500"
"20027","0x286554bd10f0800b0555530f41d127299e1069c2e469d1b05e0d1b0103cce53b","0x506172697479","1662669386","2022-09-08T20:36:26.000Z","3","19","120","40.0000"
"20026","0x15827a79bde049e847db57c702ed88297f3fd4ea7e927e727b15d74389416b48","0x506172697479","1662669383","2022-09-08T20:36:23.000Z","3","19","162","54.0000"
"20025","0xeab74a837411987f542a45c23536cd63a33691761acbfcd4a0b6c6fc472ada33","0x506172697479","1662669379","2022-09-08T20:36:19.000Z","4","19","122","30.5000"
"20024","0xb5cf464d147be45fe712878943a14c305d2ca4c805493e0681695a39c97b2106","0x506172697479","1662669376","2022-09-08T20:36:16.000Z","3","19","141","47.0000"
"20023","0x54f93f20fdb3d441d9659b4edab5d06ed3cb1b6f79f4dc8d9811e68e46b7350a","0x506172697479","1662669372","2022-09-08T20:36:12.000Z","4","19","145","36.2500"
"20022","0x423d1f5135f2c557f78b5a2ad555b0745af08afd207e4a747c602350d0f398e6","0x506172697479","1662669369","2022-09-08T20:36:09.000Z","3","19","151","50.3333"
"20021","0xe6584f82ea25ba2fc908b704c9c0c323b70b5726b18ddfbc48cf6442410df6a1","0x506172697479","1662669365","2022-09-08T20:36:05.000Z","4","19","170","42.5000"
"20020","0x8aec9f74f30a1ea648260542c7b7e6d749552000ebf2565eda07df7653220966","0x506172697479","1662669361","2022-09-08T20:36:01.000Z","4","19","173","43.2500"
